index,id,dataid,roomname,subtitle,roomid,title,saved,s1,s2,link
125,242,133,東離劍遊紀,展偶介紹-魔龍-歿王,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp242.html
126,244,134,東離劍遊紀,展偶介紹-諦空,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp244.html
127,245,135,東離劍遊紀,展偶介紹-蔑天骸,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp245.html
128,246,136,東離劍遊紀,展偶介紹-婁震戒,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp246.html
129,247,137,東離劍遊紀,展偶介紹-丹翡,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp247.html
130,248,138,東離劍遊紀,展偶介紹-丹衡,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp248.html
131,249,139,東離劍遊紀,展偶介紹-殺無生,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp249.html
132,250,140,東離劍遊紀,展偶介紹-捲殘雲,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp250.html
133,251,141,東離劍遊紀,展偶介紹-嘯狂狷,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp251.html
134,252,142,東離劍遊紀,展偶介紹-鐵笛仙,b13,展偶介紹,N,N,N,https://pililcr.weebly.com/tp252.html
31,31,31,刀說異數,展偶介紹-南宮取,b12,刀說異數,N,N,Y,https://pililcr.weebly.com/tp31.html
173,173,173,蹈天橋,展偶介紹-花信風,b8,展偶介紹,N,Y,N,https://pililcr.weebly.com/tp173.html
174,112,112,刀說異數,展偶介紹-花信風,b12,展偶介紹,N,N,Y,https://pililcr.weebly.com/tp112.html
135,113,113,刀說異數,展偶介紹-冷劍白狐,b12,展偶介紹,N,N,Y,https://pililcr.weebly.com/tp113.html
136,114,114,刀說異數,展偶介紹-燈蝶(第一版),b12,展偶介紹,N,N,Y,https://pililcr.weebly.com/tp114.html
137,115,115,刀說異數,展偶介紹-照世緣,b12,展偶介紹,N,N,Y,https://pililcr.weebly.com/tp115.html
138,116,116,刀說異數,展偶介紹-花影人,b12,展偶介紹,N,N,Y,https://pililcr.weebly.com/tp116.html
66,117,117,30年經典,劇集及展偶介紹-龍城聖影+素還真.談無慾.葉小釵.地理司.聖蹤,b4,展偶介紹,N,Y,N,https://pililcr.weebly.com/tp117.html
67,118,118,30年經典,劇集及展偶介紹-霹靂劍蹤+劍子仙跡.佛劍分說.疏樓龍宿.一劍封禪.劍雪無名.吞佛童子.東方鼎立,b4,展偶介紹,N,Y,N,https://pililcr.weebly.com/tp118.html
68,119,119,30年經典,劇集及展偶介紹-霹靂天啟+素還真.千葉傳奇.楓岫主人.太學主,b4,展偶介紹,N,Y,N,https://pililcr.weebly.com/tp119.html
